id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31379254,Tastefully furnished room in quiet shared flat,17547263,Nils,Treptow - Köpenick,Niederschöneweide,52.4530447847523,13.52569917976818,Private room,19,3,0,,,1,8
31379656,"Haus im grünen Berlin, 25 min bis Friedrichstraße",27547145,Elisabeth,Tempelhof - Schöneberg,Lichtenrade,52.386473911541145,13.404664548587833,Entire home/apt,26,2,0,,,1,37
31380384,brandnew 1-bedroom-appartment,10966,Claudia,Mitte,Moabit Ost,52.53343192120024,13.35990672438096,Entire home/apt,75,2,0,,,3,15
31381908,Comfortable & Silent stay // FHAIN XBERG MITTE,4713459,Farshid,Mitte,Alexanderplatz,52.51189157535763,13.418589326288798,Private room,65,1,0,,,1,352
31382644,Lovely Neukölln Apartment,235032226,Benjamin & Dascha,Neukölln,Schillerpromenade,52.46874695954204,13.427092939814516,Private room,55,2,0,,,1,259
31382714,Berlin Zuhause mit Aussicht,235032819,Maximilian,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51553349809769,13.456134655881952,Private room,25,28,0,,,1,42
31384277,"Bright, tastefully renovated apartment for 6 month",12768865,Frithjof,Neukölln,Schillerpromenade,52.475409017018734,13.424317122190642,Entire home/apt,50,14,0,,,1,212
31384395,spacious and modern apartment in Prenzlauer Berg,16302244,Alina,Pankow,Prenzlauer Berg Südwest,52.53926482478724,13.40623327642506,Entire home/apt,110,14,0,,,1,69
31385396,"REAL BERLIN! 5ppl. in Boxi area, Friedrichshain!",235058174,Bert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50922660043436,13.465155354309992,Entire home/apt,70,1,1,2019-01-13,1,1,8
31385993,Shared  2 GIRLS Room in Kreuzberg (Curry 36) 3,222567373,Germana & Cesar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49485086697911,13.382438730882603,Shared room,9,3,0,,,4,54
31386504,"Stylish, Quiet, Renovated Room in Kreuzberg",88342356,Stevie,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.491328588765505,13.396946751840183,Private room,23,1,0,,,2,11
31386659,"Stylish, Quiet, Renovated Room in Kreuzberg",88342356,Stevie,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.490490794820715,13.397296668045621,Private room,23,1,1,2019-01-09,1,2,7
31386775,21apart Deluxe Luxury Space incl. BRKF,1581930,Darius,Mitte,Alexanderplatz,52.523150941161994,13.387482445415834,Entire home/apt,600,2,0,,,2,333
31394700,Studio Friedrichshain,139318417,Bü,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51650818138101,13.46875321351764,Entire home/apt,35,1,0,,,1,22
31396622,Elegant & Spacious Berlin Altbau,16422166,Christinne,Steglitz - Zehlendorf,Drakestr.,52.44562298309795,13.306988882804925,Entire home/apt,50,30,0,,,1,134
31397139,"Surrounded by restaurants & bars, 7 min to clubs!",173012115,Nora,Neukölln,Reuterstraße,52.4858288047797,13.439235553769258,Entire home/apt,55,2,0,,,2,8
31397359,Cozy apartment close to KaDeWe and Bergmannstraße,234749369,Sophie,Tempelhof - Schöneberg,Schöneberg-Nord,52.49131668738164,13.37044204612764,Entire home/apt,83,1,0,,,1,14
31397673,"Cozy & Quiet in Berlin, Schoeneberg",235168007,Gela,Tempelhof - Schöneberg,Schöneberg-Süd,52.48173952730163,13.362709281704447,Entire home/apt,47,4,0,,,1,58
31397816,gemütliches Hausboot,5874663,Britta,Treptow - Köpenick,Niederschöneweide,52.453391541918506,13.518645932395685,Entire home/apt,230,2,0,,,1,83
31398336,Luxury Attic Flat in Berlin‘s Art District,235009474,Manuel,Mitte,Alexanderplatz,52.52575627955065,13.392938419189363,Entire home/apt,250,14,0,,,1,74
31398898,Nice perfectly located room in fhain,190504512,Alex,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51779221804765,13.46506280828531,Private room,35,2,0,,,1,28
31399172,Welcome to our cosy room in Neukölln,207189094,Sara,Neukölln,Schillerpromenade,52.478277600977485,13.425719358937801,Private room,25,2,1,2019-01-14,1,1,16
31400606,Modern flat close to Alexanderplatz,36794831,Joey,Pankow,Prenzlauer Berg Süd,52.52756782103454,13.420860348687095,Private room,55,1,1,2019-01-10,1,1,121
